Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,4442.45,5694.66,6560.13,7480.83,12456.9,13628.8,4813.42,3919.9,4897.56,5210.3,5731.3,4602.3
,4465.39,5696.54,6570.46,7512.2,12495.3,13630.9,4817.01,3921.7,4902.08,5221.29,5733.91,4620.77
,4473.51,5712.94,6571.14,7536.24,12502.9,13639.7,4819.77,3934.02,4906.21,5225.96,5741.51,4632.17
,4497.89,5733.94,6576.67,7539.01,12535.6,13655,4820.65,3947.27,4906.53,5251.2,5753.75,4632.47
,4519.34,5748.74,6580.24,7541.15,12575.9,13782.4,4828.31,3956.65,4908.53,5253.45,5782.35,4632.94
,4536.41,5768.71,6603.3,7542.4,12594.2,13805.6,4832.4,3965.43,4914.68,5254.94,5810.42,4644
,4540.27,5769.14,6604.5,7578.53,12607.1,13813.6,4837.59,3974.1,4916.23,5256.16,5814.77,4651.54
,4543.34,5789.98,6615.59,7600.62,12630.2,13814.5,4868.38,3987.3,4921.28,5256.56,5817.35,4653.03
,4560.48,5791.54,6622.75,7614.62,12643.3,13842.7,4892.4,4006,4926.52,5272.42,5822.06,4667.63
,4561.03,5800.03,6623.21,7615.89,12649.9,13903.1,4912.11,4014.31,4936.53,5272.69,5826.92,4684.75
,4562.32,5800.74,6630.31,7617.99,12695.3,13931.9,4912.83,4018.41,4943.59,5276.93,5834.4,4686.47
